Date,JW,EW,AM,MM,BF,RO,TD,EO,JB,A2,A3,A4,
2020-07-02,L,L,W,W,L,W,,,,,,,
2020-07-10,W,W,L,W,L,,L,,,,,,
2020-07-17,W,W,L,W,L,,L,,,,,,
2021-02-05,L,L,L,,W,W,W,,,,,,
2021-02-12,L,W,,,W,W,L,L,,,,,Game 1 Forfeit
2021-02-12,L,L,,,W,W,W,L,,,,,Game 1
2021-02-12,L,L,,,W,W,W,L,,,,,Game 2 Forfeit
2021-02-12,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
End data,,,,,,,,,,,,,
Games,7,7,4,3,7,5,6,3,0,,,,
Wins,2,3,1,3,4,5,3,0,0,,,,
Pct,29%,43%,25%,100%,57%,100%,50%,0%,#DIV/0!,,,,